SURVEY_START_TIME,SURVEY_END_TIME,DEVICE_ID,LOCATION,_LOCATION_latitude,_LOCATION_longitude,_LOCATION_altitude,_LOCATION_precision,VILLAGE_NAME,ALT_VILLAGE_NAME,NUMBER_OF_HOUSEHOLDS,DISTRICT,CHIEFDOM,WARD,CONSTITUENCY,NEAREST_HC_LOCATION,NEAREST_HC_TYPE,meta/instanceID,_uuid,_submission_time
2015-01-12T09:29:52.694Z,2015-01-12T10:20:37.977Z,9.90003E+14,8.73541776 -11.90323195 132.0 6.0,8.73541776,-11.90323195,132,6,Mathora,n/a,169,Tonkolili,Kholifa Rowala,203,59,Government health center magburaka,secondary,uuid:b062cc61-ed62-4e75-b968-44f960110651,b062cc61-ed62-4e75-b968-44f960110651,2015-01-12T12:45:18
2015-01-12T10:00:48.753Z,2015-01-12T10:23:33.765Z,9.90003E+14,8.74340416 -11.89557412 191.10000610351563 4.0,8.74340416,-11.89557412,191.1000061,4,Maraka,n/a,80,Tonkolili,Kholifa Rowala,203,59,Government health center magburaka,secondary,uuid:82ef4a5d-9b5d-4866-bc34-ddb65c69c2bc,82ef4a5d-9b5d-4866-bc34-ddb65c69c2bc,2015-01-12T12:45:19
2015-01-12T17:39:09.343+08,2015-01-12T19:51:32.069+08,3.55072E+14,8.756443194019173 -11.88692625894698 116.0 5.0,8.756443194,-11.88692626,116,5,Romango,n/a,62,Tonkolili,Kholifa Rowala,203,59,masanga,primary,uuid:b9f15bc7-8a82-41c7-ab64-44f9c23d2de2,b9f15bc7-8a82-41c7-ab64-44f9c23d2de2,2015-01-12T12:46:16
2015-01-12T18:28:28.376+08,2015-01-12T19:56:39.516+08,3.55072E+14,8.75549625457662 -11.857098162034076 124.0 5.0,8.755496255,-11.85709816,124,5,Mabomna,n/a,55,Tonkolili,Kholifa Rowala,203,59,Mansanga,other,uuid:0afca5e6-b885-4e45-9f94-153200f554e2,0afca5e6-b885-4e45-9f94-153200f554e2,2015-01-12T12:46:17
2015-01-12T18:14:23.184+08,2015-01-12T19:54:28.431+08,3.55072E+14,8.761833700671712 -11.866602211098273 147.0 5.0,8.761833701,-11.86660221,147,5,Mapythor,n/a,55,Tonkolili,Kholifa Rowala,203,59,Mansanga,other,uuid:a5d5d541-78f8-4fb9-964b-04b7b0ea64bf,a5d5d541-78f8-4fb9-964b-04b7b0ea64bf,2015-01-12T12:46:17
2015-01-12T17:51:35.289+08,2015-01-12T19:52:49.697+08,3.55072E+14,8.767795679531899 -11.87619494363384 162.0 5.0,8.76779568,-11.87619494,162,5,Matham,n/a,107,Tonkolili,Kholifa Rowala,203,59,Masanga,secondary,uuid:b5db8b58-eb09-4877-9450-6c373060f56f,b5db8b58-eb09-4877-9450-6c373060f56f,2015-01-12T12:46:17
2015-01-12T15:26:47.457Z,2015-01-12T15:36:52.031Z,9.90003E+14,8.74203899 -11.89664667 139.89999389648438 11.0,8.74203899,-11.89664667,139.8999939,11,Rogbenthneh 1 ,n/a,26,Tonkolili,Kholifa Rowala,203,59,Government health center magburaka,secondary,uuid:130df2f1-9889-49ca-87a3-43790abe53e4,130df2f1-9889-49ca-87a3-43790abe53e4,2015-01-12T16:42:11
2015-01-12T15:39:42.492Z,2015-01-12T15:45:29.255Z,9.90003E+14,8.7405324 -11.89361391 129.3000030517578 4.0,8.7405324,-11.89361391,129.3000031,4,Rogbenthneh 2,n/a,20,Tonkolili,Kholifa Rowala,203,59,Government health center magburaka,secondary,uuid:eaacbab5-a66f-459d-ada5-744ac7ae67d4,eaacbab5-a66f-459d-ada5-744ac7ae67d4,2015-01-12T16:42:12
2015-01-12T23:51:59.456+08,2015-01-13T00:10:13.564+08,3.55072E+14,8.767788000124197 -11.876308531807402 129.0 5.0,8.767788,-11.87630853,129,5,Matham,n/a,107,Tonkolili,Kholifa Rowala,203,59,Masanga,secondary,uuid:ad865a87-3f1d-45a4-b386-738b907e6629,ad865a87-3f1d-45a4-b386-738b907e6629,2015-01-12T16:46:25
2015-01-12T23:34:10.557+08,2015-01-13T00:19:24.772+08,3.55072E+14,8.756995273371095 -11.88650725186746 148.0 15.0,8.756995273,-11.88650725,148,15,Romango,n/a,62,Tonkolili,Kholifa Rowala,203,59,Masanga,secondary,uuid:0c9f724e-28ce-44b6-b6c5-7c00d0a93098,0c9f724e-28ce-44b6-b6c5-7c00d0a93098,2015-01-12T16:46:25
2015-01-12T16:28:53.164Z,2015-01-12T17:42:07.531Z,3.58697E+14,8.69587666 -11.92112387 145.1999969482422 8.0,8.69587666,-11.92112387,145.1999969,8,Masesebe,n/a,235,Tonkolili,Kholifa Rowala,204,59,Malon,primary,uuid:93c9223f-0842-4b49-8ca7-f4ed1bc47b92,93c9223f-0842-4b49-8ca7-f4ed1bc47b92,2015-01-12T17:51:11
2015-01-12T17:21:46.228Z,2015-01-12T17:44:26.487Z,3.58697E+14,8.71257392 -11.93448541 136.8000030517578 8.0,8.71257392,-11.93448541,136.8000031,8,Masoko,Masoko Line,425,Tonkolili,Kholifa Rowala,204,59,Magburaka,primary,uuid:5fe49402-744e-43f1-98c8-ad14c48801c2,5fe49402-744e-43f1-98c8-ad14c48801c2,2015-01-12T17:51:12
2015-01-12T16:59:12.271Z,2015-01-12T17:39:34.231Z,3.58697E+14,8.70832745 -11.91255072 132.10000610351563 8.0,8.70832745,-11.91255072,132.1000061,8,Matuk,n/a,80,Tonkolili,Kholifa Rowala,204,59,Magburaka,primary,uuid:ea824e18-4136-4781-ba4c-0863525b74ae,ea824e18-4136-4781-ba4c-0863525b74ae,2015-01-12T17:51:12
2015-01-12T17:13:17.050Z,2015-01-12T17:43:10.143Z,3.58697E+14,8.71004087 -11.93105963 127.9000015258789 8.0,8.71004087,-11.93105963,127.9000015,8,polo,n/a,246,Tonkolili,Kholifa Rowala,204,59,Magburaka,primary,uuid:4758da33-50aa-49eb-92dc-b765d9659440,4758da33-50aa-49eb-92dc-b765d9659440,2015-01-12T17:51:12
2015-01-12T16:52:00.579Z,2015-01-12T17:31:21.911Z,3.52624E+14,8.77364519 -11.85120154 163.8000030517578 8.0,8.77364519,-11.85120154,163.8000031,8,Rogbese,n/a,400,Tonkolili,Kholifa Rowala,203,59,Masanga,secondary,uuid:4de1be3a-3873-4a88-8aec-b7d4fab08647,4de1be3a-3873-4a88-8aec-b7d4fab08647,2015-01-12T18:49:52
2015-01-12T17:22:47.039Z,2015-01-12T18:40:53.919Z,3.52624E+14,8.79536872 -11.80830618 159.39999389648438 5.0,8.79536872,-11.80830618,159.3999939,5,Makamba,n/a,25,Tonkolili,Kholifa Rowala,203,59,Masanga,secondary,uuid:1896bc4c-5894-4c9e-a5dc-b114a4de1b06,1896bc4c-5894-4c9e-a5dc-b114a4de1b06,2015-01-12T18:49:53
2015-01-12T17:48:43.520Z,2015-01-12T17:57:12.978Z,3.52624E+14,8.77219998 -11.82781734 153.10000610351563 7.0,8.77219998,-11.82781734,153.1000061,7,Makari,n/a,55,Tonkolili,Kholifa Rowala,203,59,Masanga,secondary,uuid:b6dce6b6-3ae7-4428-b00c-e9fe603b61bd,b6dce6b6-3ae7-4428-b00c-e9fe603b61bd,2015-01-12T18:49:53
2015-01-12T17:11:03.165Z,2015-01-12T17:32:13.430Z,3.52624E+14,8.78781187 -11.82554641 162.3000030517578 5.0,8.78781187,-11.82554641,162.3000031,5,Masokori,n/a,220,Tonkolili,Kholifa Rowala,203,59,Masanga,secondary,uuid:6f207d9d-1936-4222-b0fb-645468f32745,6f207d9d-1936-4222-b0fb-645468f32745,2015-01-12T18:49:53
2015-01-13T11:59:24.903Z,2015-01-13T12:09:35.789Z,9.90003E+14,8.68253352 -11.92144038 134.5 29.0,8.68253352,-11.92144038,134.5,29,Makill,Rogbom,20,Tonkolili,Kholifa Rowala,204,59,Malon,primary,uuid:7fddf16e-9e0e-4487-9a52-869e8dc24150,7fddf16e-9e0e-4487-9a52-869e8dc24150,2015-01-13T16:44:16
2015-01-13T12:16:53.474Z,2015-01-13T12:24:55.435Z,9.90003E+14,8.67151333 -11.92187362 124.80000305175781 23.0,8.67151333,-11.92187362,124.8000031,23,Malon ,n/a,200,Tonkolili,Kholifa Rowala,204,59,Malon,primary,uuid:dd9b90ba-d3d9-4cae-9917-1ac015f56935,dd9b90ba-d3d9-4cae-9917-1ac015f56935,2015-01-13T16:44:24
2015-01-13T12:34:38.042Z,2015-01-13T12:42:13.783Z,9.90003E+14,8.66790995 -11.91997381 156.8000030517578 8.0,8.66790995,-11.91997381,156.8000031,8,Maqui,n/a,50,Tonkolili,Kholifa Rowala,204,59,Malon,primary,uuid:0e9f548e-3f35-413f-94ab-36c82c1ddbbd,0e9f548e-3f35-413f-94ab-36c82c1ddbbd,2015-01-13T16:44:36
2015-01-13T13:57:25.670Z,2015-01-13T15:05:53.518Z,9.90003E+14,8.69001705 -11.91578812 121.9000015258789 8.0,8.69001705,-11.91578812,121.9000015,8,Robol 2,Robol Junction,70,Tonkolili,Kholifa Rowala,204,59,Government health center magburaka,secondary,uuid:5fda7618-6191-4916-b61a-b68ff90d6707,5fda7618-6191-4916-b61a-b68ff90d6707,2015-01-13T16:44:40
2015-01-13T14:12:22.143Z,2015-01-13T14:32:49.180Z,9.90003E+14,8.6914362 -11.91519823 106.19999694824219 14.0,8.6914362,-11.91519823,106.1999969,14,Robol 1,n/a,12,Tonkolili,Kholifa Rowala,204,59,Government health center magburaka,secondary,uuid:5d423c66-1088-4405-9e00-6099ce813b5e,5d423c66-1088-4405-9e00-6099ce813b5e,2015-01-13T16:44:44
